id,editorial
434,Collector's Library
435,Collectors Library
436,Collier Books
437,Collins
438,Collins Design
439,Collins Modern Classics
440,Collins Publishers
441,Collins Reference
442,Columbia Pictures Pubns
443,Columbia University Press
444,ComicsLit
445,ComicsOne Corporation
446,Companhia das Letras
447,Conari Press
448,Condor Books
449,Contemporary Books
450,Contemporary French Fiction
451,Continuum
452,Cook's Illustrated
453,Cooper Square Press
454,Cooper Square Publishers
455,Copernicus Books
456,Copper Canyon Press
457,Corgi
458,Corgi Books
459,Corgi Books (Adult)
460,Corgi Childrens
461,Cornell University Press
462,Cornerstone Press Chicago
463,Coronet
464,Coronet Books (GB)
465,Cosimo Classics
466,Cosmos Books (OH)
467,Council Oak Books
468,Council Press
469,Counterpoint
470,Counterpoint LLC
471,Countryman Press
472,Courage Books
473,Course Technology
474,CQ Press
475,CRC Press
476,Creation Books
477,Crescent
478,Critica (Grijalbo Mondadori)
479,Crossing Press
480,Crossroad
481,Crossroad Publishing Company
482,Crossway Books
483,Crown
484,Crown Business
485,Crown Forum
486,Crown Journeys/Crown Publishers/Crown Publishing Group/Random House
487,Crown Publishers
488,Crown Publishing Group
489,Crown Publishing Group (NY)
490,Cruithne Press
491,Crystal Clarity Publishers
492,Cumberland House Publishing
493,Cybereditions Corp
494,Da Capo Press
495,Dabel Brothers Productions
496,Dabel Brothers Publishing
497,Dafina Books
498,Daimon Verlag
499,Dalkey Archive Press
500,Dante University of America Press
501,Dark Horse
502,Dark Horse Books
503,Dark Horse Comics
504,Dark Horse Manga
505,Dartmouth College Press
506,Darton  Longman & Todd
507,David C Cook
508,David C. Cook
509,David R. Godine
510,David R. Godine Publisher
511,DAW
512,DAW Books
513,Daw Books
514,DAW Books (NY)
515,DAW Books Inc
516,DAW Fantasy
517,DAW Hardcover
518,DAW SF
519,DC Comics
520,DC Comics Vertigo
521,De Boekerij
522,Deadite Press (Eraserhead Press)
523,DEBOLS!LLO
524,Debolsillo
525,DeBolsillo
526,Dedalus
527,Dedalus Limited
528,Del Rey
529,Del Rey Ballantine Random House
530,Del Rey Books
531,Del Rey Books (NY)
532,Del Rey Fantasy
533,Del Rey/Ballantine Books
534,Delacorte Books
535,Delacorte Books for Young Readers
536,Delacorte Press
537,Delcourt
538,Dell
539,Dell Laurel-Leaf
540,Dell Publishing
541,Dell Publishing Company
542,Dell Yearling
543,Delmar Thomson Learning
544,Delta
545,Delta Publishing
546,Denoël
547,Deodand
548,Deodand Publishing
549,Dervy
550,Deseret Book Company
551,Destino Ediciones
552,Destiny Books
553,Destiny Image Incorporated
554,Deutscher Taschenbuch Verlag
555,Devil's Due Publishing
556,DeVorss & Company
557,Dey Street Books
558,Dhv der Hörverlag
559,Dial
560,Dial Books
561,Dial Press
562,Dial Press Trade Paperback
563,Diamond/Charter
564,Diana TB
565,Digireads.com
566,Digital Manga Publishing
567,Digital Manga Publishing / Dark Horse
568,Diogenes
569,Diogenes Verlag
570,Disinformation Books
571,Disinformation Company
572,Disney Editions
573,Disney Enterprises
574,Disney Hyperion Books
575,Disney Press
576,Disney-Hyperion
577,Distribooks
578,DK
579,DK Children
580,DK Publishing
